id,x,y,centres,Species,dbh,crown_condition,total_height,Carbon_Storage_kg,Carbon_Sequestration_kg_yr,Avoided_Runoff_cubic_m_yr,Total_Annual_Benefits_£_yr,O3_Removed_g_yr,NO2_Removed_g_yr,SO2_Removed_g_yr,PM2.5_Removed_g_yr,Pollution_Removal_g_yr,color
0,-0.942030759359736,51.4555086498727,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
1,-0.946432477104537,51.4568484856487,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
2,-0.941727631863095,51.4553611351306,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
3,-0.948643896108371,51.4572391882746,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
4,-0.948442331724162,51.4572201527619,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
5,-0.948354689107872,51.4571792862314,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
7,-0.946101827905285,51.456775893365,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
8,-0.943920600646502,51.4561350572382,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
10,-0.943493529164748,51.4560332671821,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
11,-0.948952323450256,51.4571632873174,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
12,-0.949633496031937,51.4569242420849,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
14,-0.941785694572973,51.4554150138537,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
16,-0.945014854739174,51.4564882694278,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
17,-0.949348797960789,51.4570241693454,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
18,-0.943381723440387,51.4559933770769,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
20,-0.942569684746726,51.45567259069,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
22,-0.94825885485544,51.4571915925298,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
23,-0.945098681709906,51.4565147623273,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
24,-0.949510920812053,51.4569363442144,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
26,-0.948562606670946,51.4572051776455,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
27,-0.941579872625726,51.4553361765269,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
30,-0.944288145072399,51.4562721210506,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
31,-0.941891877852159,51.4554240470769,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
32,-0.942454697220308,51.4556315638567,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
33,-0.947954705443147,51.457109021166,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
34,-0.944663733886005,51.4563513681873,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
35,-0.948826324935734,51.457173526722,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
36,-0.944439403670013,51.4563160131165,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
37,-0.945715703365985,51.4566507497005,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
38,-0.948730674593857,51.4571992514038,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
39,-0.942710482094157,51.4557228260537,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
40,-0.943321967823377,51.455940996022,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
41,-0.943686071803364,51.4560946021903,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
42,-0.947679513601064,51.4570877605261,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
43,-0.944075662349907,51.4562110456301,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
44,-0.942894763450954,51.4558196371864,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
46,-0.946210044055832,51.4567713178017,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
47,-0.943777688293954,51.4561220947843,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
48,-0.946364096240963,51.4568055593149,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
49,-0.944839898647711,51.4564329755468,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
50,-0.945559654005059,51.4566092342335,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
52,-0.947569838136152,51.4570387176707,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
53,-0.946944096089128,51.4569192518213,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
54,-0.948155689942788,51.4571450423129,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
55,-0.942122674591756,51.4555118106955,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
56,-0.947075817814309,51.4569444002887,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
57,-0.946021858062615,51.4567294889496,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
58,-0.942792956228469,51.4557833135023,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
59,-0.947164864565533,51.4569614011003,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
60,-0.944580788836284,51.456327299523,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
61,-0.947805256242289,51.4571102969398,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
62,-0.947456857596491,51.4570171478672,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
63,-0.945798545596479,51.4566727889832,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
64,-0.948067875735393,51.4571293039919,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
65,-0.949229961609787,51.4570349316251,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
66,-0.943138087269159,51.4558753904406,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
67,-0.949450779832631,51.4569883848201,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
68,-0.942221656304753,51.4555794773445,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
69,-0.945353296100367,51.4565543342172,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
70,-0.949097317465666,51.4570814748612,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
71,-0.941953733207003,51.4554793783229,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
72,-0.945894207421409,51.4566982386819,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
73,-0.946674230735359,51.4568959325555,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
75,-0.945258052582647,51.4565289952071,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
76,-0.944714037199543,51.4563957052821,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
77,-0.946760591190133,51.4569124208409,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
78,-0.943602494350512,51.4560395988544,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
79,-0.942983711172018,51.455820311201,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
80,-0.942341323119024,51.4556221740781,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
81,-0.947370396866555,51.457000641035,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
82,-0.943226982490574,51.4559381682295,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
83,-0.945459106353165,51.4565824843253,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
84,-0.947273863980166,51.4570104153919,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
85,-0.949043180876959,51.4571314067712,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
86,-0.943032537634458,51.45586879325,7,Sorbus intermedia,9,100,4,12.7,2.3,0.1,0.82,26.2,6.7,0.5,0.8,34.3,blue
87,-0.945625286228523,51.4566560117544,7,Prunus cerasifera,9,100,4,14.3,2.6,0.1,0.9,28.6,7.3,0.6,0.9,37.4,yellow
88,-0.946267197334047,51.4568126505448,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
89,-0.946857951053739,51.4569028048145,7,Crataegus monogyna,9,100,4,12.6,2.2,0.1,0.7,42.5,10.9,0.9,1.3,28.2,green
90,-0.942623878066454,51.4557229879737,7,Acer campestre,9,100,4,17.4,2.8,0.1,1.27,42.5,10.9,0.9,1.3,55.5,red
